Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os01t0106900-02	Os01g0106900	Similar to 1-deoxy-D-xylulose 5-phosphate reductoisomerase (Fragment).					OsDXR, DXR, OsIspC, IspC	1-deoxy-D-xylulose 5-phosphate reductoisomerase, DXP reductoisomerase, deoxyxylulose 5-phosphate reductoisomerase	Biological Process: isoprenoid biosynthetic process (GO:0008299), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: protein binding (GO:0005515), Molecular Function: 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity (GO:0030604), Molecular Function: metal ion binding (GO:0046872), Molecular Function: NADPH binding (GO:0070402)	1-deoxy-D-xylulose 5-phosphate reductoisomerase (IPR003821), 1-deoxy-D-xylulose 5-phosphate reductoisomerase, N-terminal (IPR013512), 1-deoxy-D-xylulose 5-phosphate reductoisomerase, C-terminal (IPR013644), NAD(P)-binding domain (IPR016040)	AK059692 (DDBJ, Best hit)	Q8W250 (UniProt)			001-032-B08	14685
Os01t0107000-01	Os01g0107000	Similar to peroxin Pex14.							Cellular Component: peroxisome (GO:0005777), Cellular Component: membrane (GO:0016020)	Peroxisome membrane anchor protein Pex14p, N-terminal (IPR006785)	AK105067 (DDBJ, Best hit)	NP_001150193.1 (RefSeq)			001-044-H02	
Os01t0107000-02	Os01g0107000	Peroxisome membrane anchor protein Pex14p, N-terminal domain containing protein.							Cellular Component: peroxisome (GO:0005777), Cellular Component: membrane (GO:0016020)	Peroxisome membrane anchor protein Pex14p, N-terminal (IPR006785)	AK066969 (DDBJ, Best hit)	NP_001150193.1 (RefSeq)			J013088I21	
Os01t0107400-01	Os01g0107400	Conserved hypothetical protein.									AK059460 (DDBJ, Best hit)	Q657Y4 (UniProt)			001-028-C09	
Os01t0107700-01	Os01g0107700	Similar to LIMONENE cyclase like protein.							Cellular Component: membrane (GO:0016020)	Exostosin-like (IPR004263), Twin-arginine translocation pathway, signal sequence (IPR006311)	AK070027 (DDBJ, Best hit)	Q1EP17 (UniProt)			J023035K17	
Os01t0107750-00	Os01g0107750	Hypothetical protein.									tplb0062k24 (Wheat FLcDNA)	longestORF				
Os01t0107801-00	Os01g0107801	Non-protein coding transcript.									X06283 (DDBJ)	NONE				
Os01t0107900-01	Os01g0107900	Protein of unknown function DUF3506 domain containing protein.								Protein of unknown function DUF3506 (IPR021894)	AK070363 (DDBJ, Best hit)	A2WJS5 (UniProt)			J023047F20	
Os01t0107900-02	Os01g0107900	Protein of unknown function DUF3506 domain containing protein.								Protein of unknown function DUF3506 (IPR021894)	AK058708 (DDBJ, Best hit)	Q657X6 (UniProt)			001-019-D03	
Os01t0108000-01	Os01g0108000	Conserved hypothetical protein.									AK100813 (DDBJ, Best hit)	A2WJS6 (UniProt)			J023121P16	
Os01t0108200-01	Os01g0108200	Similar to Prolyl endopeptidase (EC 3.4.21.26) (Post-proline cleaving enzyme) (PE).					OsPOP1, POP1	Prolyl endopeptidase, Prolyl Oligopeptidase 1, PROLYL OLIGOPEPTIDASE 1	Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: serine-type peptidase activity (GO:0008236), Molecular Function: serine-type exopeptidase activity (GO:0070008)	Peptidase S9, prolyl oligopeptidase, catalytic domain (IPR001375), Peptidase S9A, prolyl oligopeptidase (IPR002470), Peptidase S9A/B/C, oligopeptidase, N-terminal beta-propeller (IPR004106), Peptidase S9A, oligopeptidase, N-terminal (IPR023302)	BT065395 (DDBJ)	B6U134 (UniProt)				17649
Os01t0108400-00	Os01g0108400	Helix-loop-helix DNA-binding domain containing protein.					OsbHLH187, bHLH187	basic helix-loop-helix protein 187		Helix-loop-helix DNA-binding (IPR011598)	AK353822 (DDBJ)	NP_001041788.2 (RefSeq)				22857
Os01t0108500-00	Os01g0108500	Protein of unknown function DUF3778 domain containing protein.								Protein of unknown function DUF3778 (IPR022256)	AK071488 (DDBJ, Secondary hit)	NP_001172123.1 (RefSeq)				
Os01t0108600-01	Os01g0108600	Basic helix-loop-helix dimerisation region bHLH domain containing protein.								Helix-loop-helix DNA-binding (IPR011598)	AK070332 (DDBJ, Best hit)	Q8W0N9 (UniProt)			J023050C11	
Os01t0108600-02	Os01g0108600	Hypothetical conserved gene.								Helix-loop-helix DNA-binding (IPR011598)	AK109432 (DDBJ, Best hit)	B8ACU8 (UniProt)			006-308-A12	
Os01t0108700-01	Os01g0108700	Hypothetical protein.									AK111316 (DDBJ, Best hit)	longestORF			002-181-C09	
Os01t0108800-01	Os01g0108800	Protein of unknown function DUF936, plant family protein.								Protein of unknown function DUF936, plant (IPR010341)	AK102103 (DDBJ, Best hit)	B8ACV0 (UniProt)			J033084B06	
Os01t0109000-01	Os01g0109000	Similar to Late embryogenesis abundant protein, group 3.									AK120074 (DDBJ, Best hit)	A2Y720 (UniProt)			J013007J15	
Os01t0109201-01	Os01g0109201	Hypothetical gene.									AK241068 (DDBJ, Best hit)	longestORF			J065066G22	
Os01t0109300-01	Os01g0109300	Similar to predicted protein.			WFSL1	WHITE FINE STRIPE LEAF 1		white fine stripe leaf 1	Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoric diester hydrolase activity (GO:0008081), Molecular Function: metal ion binding (GO:0046872)	Metal-dependent phosphohydrolase, HD domain (IPR003607), Metal-dependent phosphohydrolase, HD subdomain (IPR006674), HD domain (IPR023279)	AK242985 (DDBJ, Best hit)	XP_002868662.1 (RefSeq)			J090094N05	21746
Os01t0109300-02	Os01g0109300	Metal-dependent phosphohydrolase, HD domain containing protein, Chloroplast development, Regulation of chloroplast ribosome biogenesis	WFSL1	white fine stripe leaf 1	WFSL1	WHITE FINE STRIPE LEAF 1		white fine stripe leaf 1		HD/PDEase domain (IPR003607), HD domain (IPR006674)	Inferred from literature	Inferred from literature	June 22, 2021	28607371		21746
Os01t0109366-00	Os01g0109366	Hypothetical conserved gene.									CT834957 (DDBJ, Best hit)	B9FQ15 (UniProt)				
Os01t0109432-00	Os01g0109432	Hypothetical gene.									CT835511 (DDBJ, Best hit)	longestORF				
Os01t0109500-01	Os01g0109500	Conserved hypothetical protein.									AK058636 (DDBJ, Best hit)	A2WJT4 (UniProt)			001-018-D05	
Os01t0109700-01	Os01g0109700	Similar to Paired amphipathic helix repeat-containing protein / transcription regulator-related.							Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)	Paired amphipathic helix (IPR003822), Histone deacetylase interacting (IPR013194)	AK121497 (DDBJ, Best hit)	Q1EPA1 (UniProt)			J033007H10	
Os01t0109750-01	Os01g0109750	Paired amphipathic helix domain containing protein.							Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)	Paired amphipathic helix (IPR003822)	AK242711 (DDBJ, Best hit)	NP_001172127.1 (RefSeq)			J090041H01	
Os01t0110050-01	Os01g0110050	Pi homeostasis	PHO1;1 CIS-NAT, OsPHO1;1 cis-NAT	PHOSPHATE TRANSPORTER 1;1 CIS-NATURAL ANTISENSE TRANSCRIPT	PHO1;1 CIS-NAT	PHOSPHATE TRANSPORTER 1;1 CIS-NATURAL ANTISENSE TRANSCRIPT	OsPHO1;1 cis-NAT				AK241522 (Genbank)	Inferred from literature	April 13, 2010	20081045	J065170O10	10429
Os01t0110100-01	Os01g0110100	Phosphate (Pi) transporter, Pi homeostasis	PHO1;1, OsPHO1;1	PHOSPHATE TRANSPORTER 1;1	PHO1;1	PHOSPHATE TRANSPORTER 1;1	OsPHO1;1		Cellular Component: integral to membrane (GO:0016021)	SPX, N-terminal (IPR004331), EXS, C-terminal (IPR004342)	AK242852 (Genbank)	B9EYU4 (UniProt)	April 12, 2010	20081045	J090073D03	10424
Os01t0110200-01	Os01g0110200	Conserved hypothetical protein.			AGP12	ARABINOGALACTAN PROTEIN 12	OsAGP12	Arabinogalactan protein 12			AK109646 (DDBJ, Best hit)	A2WJU1 (UniProt)			002-138-H09	11305
Os01t0110400-01	Os01g0110400	Similar to Acetyl-CoA C-acetyltransferase.							Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)	Thiolase (IPR002155), Thiolase-like, subgroup (IPR016038), Thiolase-like (IPR016039), Thiolase, active site (IPR020610), Thiolase, conserved site (IPR020613), Thiolase, acyl-enzyme intermediate active site (IPR020615), Thiolase, N-terminal (IPR020616), Thiolase, C-terminal (IPR020617)	AK101017 (DDBJ, Best hit), AK103194 (DDBJ, Best hit)	B4FYM0 (UniProt)			J023149F12, J033121P11	
Os01t0110500-01	Os01g0110500	Protein kinase, core domain containing protein.						Extensin family protein	Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine-threonine/tyrosine-protein kinase (IPR001245), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain (IPR011009), Protein kinase, ATP binding site (IPR017441)	AK101096 (DDBJ, Best hit)	Q1EP18 (UniProt)			J033024N16	21935
Os01t0110600-00	Os01g0110600	Hypothetical protein.									tplb0028p02 (Wheat FLcDNA)	longestORF				
Os01t0110700-01	Os01g0110700	Similar to Phosphoenolpyruvate carboxylase (EC 4.1.1.31).					Osppc-b, OsSTA1, ppc-b, STA1, BTPC, OsBTPC	phosphoenolpyruvate carboxylase b, PEPCase b, bacterial-type PEPC, bacterial-type Phosphoenolpyruvate carboxylase	Biological Process: tricarboxylic acid cycle (GO:0006099), Biological Process: carbon fixation (GO:0015977), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoenolpyruvate carboxylase activity (GO:0008964)	Pyruvate/Phosphoenolpyruvate kinase (IPR015813), Phosphoenolpyruvate carboxylase, active site (IPR018129), Phosphoenolpyruvate carboxylase (IPR021135)	AK100688 (DDBJ, Best hit)	A6YM33 (UniProt)			J023114C19	18346
Os01t0110700-02	Os01g0110700	Similar to Phosphoenolpyruvate carboxylase.					Osppc-b, OsSTA1, ppc-b, STA1, BTPC, OsBTPC	phosphoenolpyruvate carboxylase b, PEPCase b, bacterial-type PEPC, bacterial-type Phosphoenolpyruvate carboxylase	Biological Process: tricarboxylic acid cycle (GO:0006099), Biological Process: carbon fixation (GO:0015977), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoenolpyruvate carboxylase activity (GO:0008964)	Pyruvate/Phosphoenolpyruvate kinase (IPR015813), Phosphoenolpyruvate carboxylase, active site (IPR018129), Phosphoenolpyruvate carboxylase (IPR021135)	AK119573 (DDBJ, Best hit)	A6YM33 (UniProt)			002-117-B02	18346
Os01t0110800-01	Os01g0110800	Leucine-rich repeat, plant specific containing protein.							Molecular Function: protein binding (GO:0005515)	Leucine-rich repeat (IPR001611)	AK065190 (DDBJ, Best hit)	B8ACV6 (UniProt)			J013002E08	
Os01t0111000-00	Os01g0111000	Pectinesterase inhibitor domain containing protein.			PMEI1	PECTIN METHYLESTERASE INHIBITOR 1	PMEI-1	PME inhibitor 1, pectin methylesterase inhibitor 1	Molecular Function: enzyme inhibitor activity (GO:0004857), Molecular Function: pectinesterase activity (GO:0030599)	Pectinesterase inhibitor (IPR006501)	ab initio prediction	Q657T2 (UniProt)				22008
Os01t0111100-01	Os01g0111100	Cyclophilin-like domain containing protein.			CYP26-2	CYCLOPHILIN 26-2	OsCYP26-2, OsCYP-1, OsCYP26-1	cyclophilin 26-2, cyclophilin 1	Biological Process: protein folding (GO:0006457), Molecular Function: peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (IPR002130), Cyclophilin-like (IPR015891)	AK065672 (DDBJ, Best hit)	NP_565079.1 (RefSeq)			J013039E22	10066
Os01t0111200-01	Os01g0111200	Like-Sm ribonucleoprotein (LSM)-related domain domain containing protein.						Sm gene, Sm family protein		Like-Sm ribonucleoprotein (LSM)-related domain (IPR010920), DFDF motif (IPR019050), FFD/TFG box motif (IPR019053)	AK102802 (DDBJ, Best hit)	B8ACV9 (UniProt)			J033108G08	15634
Os01t0111300-01	Os01g0111300	Conserved hypothetical protein.									AK105004 (DDBJ, Best hit)	Q6L578 (UniProt)			001-006-B03	
Os01t0111400-01	Os01g0111400	Zinc finger, BED-type predicted domain containing protein.							Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein dimerization activity (GO:0046983)	Zinc finger, BED-type predicted (IPR003656), HAT dimerisation (IPR008906), Ribonuclease H-like (IPR012337)	AK066455 (DDBJ, Best hit)	NP_001147568.1 (RefSeq)			J013063C15	
Os01t0111400-02	Os01g0111400	Similar to transposon protein.							Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677)	Zinc finger, BED-type predicted (IPR003656), Ribonuclease H-like (IPR012337)	AK067704 (DDBJ, Best hit)	NP_001147568.1 (RefSeq)			J013116N12	
Os01t0111500-01	Os01g0111500	ROOT HAIR DEFECTIVE-SIX LIKE (RSL) class I basic helix-loop-helix protein, bHLH transcription factor, Regulation of root hair development	OsbHLH125, OsRSL1	basic helix-loop-helix protein 125			OsbHLH125, bHLH125, OsRSL1, RSL1	basic helix-loop-helix protein 125, ROOT HAIR DEFECTIVE-SIX LIKE 1	Molecular Function: protein dimerization activity (GO:0046983)	Myc-type, basic helix-loop-helix (bHLH) domain (IPR011598)	AK108587	Q0JRA9	October 4, 2016	27494519, 27716929	002-146-B03	15403
Os01t0111600-01	Os01g0111600	PEBP (phosphatidylethanolamine-binding protein) family protein, Regulation of ABA signaling-mediated seed germination	OsMFT2	MOTHER OF FT AND TFL 2	MFT2	MOTHER OF FT AND TFL 2	OsMFT2, OsMFT	MFT-like gene 2		PEBP-like superfamily (IPR036610), Phosphatidylethanolamine-binding protein (IPR008914), Phosphatidylethanolamine-binding protein, eukaryotic (IPR035810), Phosphatidylethanolamine-binding, conserved site (IPR001858)	AK110620	Q9ASJ1	March 16, 2020	32170894	002-169-A04	11878
Os01t0111700-01	Os01g0111700	Conserved hypothetical protein.									AK108920 (DDBJ, Best hit)	A2WJV3 (UniProt)			002-152-H07	
Os01t0111800-01	Os01g0111800	Conserved hypothetical protein.									AK059312 (DDBJ, Best hit)	B8ACW1 (UniProt)			001-025-G10	
Os01t0111800-02	Os01g0111800	Conserved hypothetical protein.									AK071433 (DDBJ, Best hit)	B8ACW1 (UniProt)			J023093B16	
Os01t0111900-01	Os01g0111900	Glutelin family protein.					SIP34	SKIP interacting protein 34, SKIPa-interacting protein 34, SKIPa-interacting protein 34			AK103326 (DDBJ, Best hit)	NP_001149355.1 (RefSeq)			J033125L13	9966
Os01t0112000-01	Os01g0112000	Conserved hypothetical protein.									AK103623 (DDBJ, Best hit)	A2ZNG6 (UniProt)			J033133N12	
Os01t0112050-01	Os01g0112050	Non-protein coding transcript.									AK287520 (DDBJ, Best hit)	NONE			J053044N13	
Os01t0112100-01	Os01g0112100	Conserved hypothetical protein.					UN1				AK100946 (DDBJ, Best hit), AK070580 (DDBJ, Best hit)	A2WJV7 (UniProt)			J023138H16, J023061N16	23403
Os01t0112201-01	Os01g0112201	Hypothetical protein.									AK240920 (DDBJ, Best hit)	longestORF			J065038E03	
Os01t0112300-01	Os01g0112300	Hypothetical conserved gene.									AK242069 (DDBJ, Best hit)	B9EYV6 (UniProt)			J075132O17	
Os01t0112400-01	Os01g0112400	Major intrinsic protein family protein.			NIP4;1	NOD26 LIKE INTRINSIC PROTEIN 4;1	OsNIP4;1, NIP4-1, OsNIP4.1, NIP4.1	Aquaporin NIP4-1, NOD26-like intrinsic protein 4-1	Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)	Major intrinsic protein (IPR000425), Major intrinsic protein, conserved site (IPR022357), Aquaporin-like (IPR023271)	AK106825 (DDBJ, Best hit)	Q9ASI1 (UniProt)			002-116-E11	8526
Os01t0112500-01	Os01g0112500	Similar to Plakoglobin/armadillo/beta-catenin-like protein (Fragment).							Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)	Armadillo (IPR000225), Armadillo-like helical (IPR011989), Armadillo-type fold (IPR016024)	AK120201 (DDBJ, Best hit)	Q71VM2 (UniProt)			J013037I12	
Os01t0112500-02	Os01g0112500	Similar to Plakoglobin/armadillo/beta-catenin-like protein (Fragment).							Molecular Function: binding (GO:0005488)	Armadillo-like helical (IPR011989), Armadillo-type fold (IPR016024)	AK058409 (DDBJ, Best hit)	Q71VM2 (UniProt)			001-015-C05	
Os01t0112600-01	Os01g0112600	Conserved hypothetical protein.									AK241069 (DDBJ, Best hit)	NP_001172135.1 (RefSeq)			J065066I06	
Os01t0112800-00	Os01g0112800	Disease resistance protein domain containing protein.							Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)	Disease resistance protein (IPR000767), NB-ARC (IPR002182)	AK367884 (DDBJ)	NP_001172136.1 (RefSeq)				
Os01t0113000-00	Os01g0113000	Hypothetical conserved gene.							Biological Process: proteolysis (GO:0006508), Molecular Function: cysteine-type peptidase activity (GO:0008234)	Peptidase C48, SUMO/Sentrin/Ubl1 (IPR003653)	ab initio prediction	NP_001041816.1 (RefSeq)				
Os01t0113150-00	Os01g0113150	Disease resistance protein domain containing protein.							Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)	Disease resistance protein (IPR000767), NB-ARC (IPR002182)	AK367884 (DDBJ)	A2ZNH1 (UniProt)				
Os01t0113200-01	Os01g0113200	Similar to Receptor serine/threonine kinase.			RLCK2	RECEPTOR-LIKE CYTOPLASMIC KINASE 2	OsRLCK2, rrsRLK	Receptor-like Cytoplasmic Kinase 2, required for ROS-scavenging receptor-like kinase	Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine-threonine/tyrosine-protein kinase (IPR001245), Protein kinase-like domain (IPR011009), Protein kinase, ATP binding site (IPR017441)	AK241355 (DDBJ, Best hit)	O49202 (UniProt)			J065150L24	18723
Os01t0113300-01	Os01g0113300	Similar to ARK protein (Fragment).			RLCK3	RECEPTOR-LIKE CYTOPLASMIC KINASE 3	OsRLCK3	Receptor-like Cytoplasmic Kinase 3	Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain (IPR011009), Concanavalin A-like lectin/glucanase, subgroup (IPR013320), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase-like domain (IPR017442)	AK111565 (DDBJ, Best hit)	Q9XGE8 (UniProt)			J013071F06	18724
Os01t0113325-00	Os01g0113325	Hypothetical protein.									tplb0030a05 (Wheat FLcDNA)	longestORF				
